,precision,recall,f1-score,support
8,0.9991922455573505,0.8779276082327893,0.9346429920664903,1409.0
208,0.8650793650793651,0.8195488721804511,0.8416988416988417,931.0
235,0.889795918367347,0.7898550724637681,0.836852207293666,276.0
275,1.0,0.07203389830508475,0.13438735177865613,236.0
49,0.9666666666666667,0.5471698113207547,0.6987951807228916,106.0
284,0.9285714285714286,0.8666666666666667,0.896551724137931,90.0
90,0.9876543209876543,0.975609756097561,0.9815950920245398,82.0
241,1.0,0.5142857142857142,0.6792452830188679,70.0
132,0.98,0.7205882352941176,0.8305084745762712,68.0
109,0.8936170212765957,0.8076923076923077,0.8484848484848485,52.0
70,0.5,0.14634146341463414,0.22641509433962262,41.0
74,0.7777777777777778,0.23333333333333334,0.35897435897435903,30.0
203,1.0,0.25,0.4,20.0
265,1.0,0.7222222222222222,0.8387096774193548,18.0
261,0.9090909090909091,0.5882352941176471,0.7142857142857143,17.0
45,1.0,0.06666666666666667,0.125,15.0
61,0.5294117647058824,0.75,0.6206896551724139,12.0
295,1.0,0.3333333333333333,0.5,12.0
250,1.0,0.1,0.18181818181818182,10.0
286,0.5,0.2,0.28571428571428575,10.0
46,0.8571428571428571,0.6666666666666666,0.75,9.0
37,0.5833333333333334,0.875,0.7000000000000001,8.0
279,0.3333333333333333,0.2857142857142857,0.30769230769230765,7.0
207,0.0,0.0,0.0,7.0
258,0.75,1.0,0.8571428571428571,6.0
124,0.0,0.0,0.0,6.0
28,1.0,0.6,0.7499999999999999,5.0
86,0.5,0.8,0.6153846153846154,5.0
22,0.3076923076923077,0.8,0.4444444444444444,5.0
98,0.6666666666666666,1.0,0.8,4.0
88,1.0,0.25,0.4,4.0
179,0.6666666666666666,0.5,0.5714285714285715,4.0
293,0.5,0.3333333333333333,0.4,3.0
193,1.0,0.6666666666666666,0.8,3.0
248,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
255,0.0,0.0,0.0,3.0
105,0.5,0.3333333333333333,0.4,3.0
104,0.23076923076923078,1.0,0.375,3.0
246,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
44,1.0,0.5,0.6666666666666666,2.0
247,0.0,0.0,0.0,2.0
111,1.0,0.5,0.6666666666666666,2.0
92,0.0,0.0,0.0,2.0
101,0.0,0.0,0.0,2.0
294,0.5,1.0,0.6666666666666666,1.0
278,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0
76,0.0,0.0,0.0,1.0
242,0.5,1.0,0.6666666666666666,1.0
205,0.0,0.0,0.0,1.0
53,0.0625,1.0,0.11764705882352941,1.0
134,0.25,1.0,0.4,1.0
114,0.0,0.0,0.0,1.0
57,0.5,1.0,0.6666666666666666,1.0
accuracy,0.7452986725663717,0.7452986725663717,0.7452986725663717,0.7452986725663717
macro avg,0.14941723516379957,0.12754671625962244,0.1207512189606634,3616.0
weighted avg,0.9255254367413682,0.7452986725663717,0.7950213716462667,3616.0
