,precision,recall,f1-score,support
8,0.9991928974979822,0.8693820224719101,0.9297784453623732,1424.0
208,0.8453038674033149,0.8069620253164557,0.8256880733944955,948.0
235,0.8616600790513834,0.7985347985347986,0.8288973384030418,273.0
275,1.0,0.08225108225108226,0.152,231.0
49,0.9655172413793104,0.5,0.6588235294117647,112.0
284,0.9397590361445783,0.8863636363636364,0.912280701754386,88.0
90,0.975609756097561,0.963855421686747,0.9696969696969697,83.0
241,0.972972972972973,0.5,0.6605504587155964,72.0
132,0.9803921568627451,0.746268656716418,0.847457627118644,67.0
109,0.875,0.7924528301886793,0.8316831683168316,53.0
70,0.5714285714285714,0.1702127659574468,0.2622950819672131,47.0
74,0.6666666666666666,0.1875,0.29268292682926833,32.0
203,0.7142857142857143,0.25,0.37037037037037035,20.0
265,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
261,0.8333333333333334,0.5555555555555556,0.6666666666666667,18.0
45,1.0,0.0625,0.11764705882352941,16.0
295,1.0,0.3333333333333333,0.5,12.0
61,0.5625,0.8181818181818182,0.6666666666666666,11.0
250,1.0,0.1,0.18181818181818182,10.0
46,0.75,0.6666666666666666,0.7058823529411765,9.0
279,0.2857142857142857,0.2222222222222222,0.25,9.0
286,0.2,0.2222222222222222,0.2105263157894737,9.0
37,0.42857142857142855,0.75,0.5454545454545454,8.0
258,0.75,1.0,0.8571428571428571,6.0
207,0.0,0.0,0.0,6.0
124,0.0,0.0,0.0,6.0
28,1.0,0.6,0.7499999999999999,5.0
22,0.3333333333333333,0.8,0.47058823529411764,5.0
246,0.75,0.6,0.6666666666666665,5.0
179,0.6666666666666666,0.5,0.5714285714285715,4.0
88,0.0,0.0,0.0,4.0
105,0.5,0.25,0.3333333333333333,4.0
98,0.6666666666666666,1.0,0.8,4.0
248,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
293,1.0,0.3333333333333333,0.5,3.0
193,1.0,0.3333333333333333,0.5,3.0
104,0.2,0.6666666666666666,0.30769230769230765,3.0
247,0.0,0.0,0.0,2.0
255,0.0,0.0,0.0,2.0
92,0.0,0.0,0.0,2.0
278,1.0,0.5,0.6666666666666666,2.0
44,1.0,0.5,0.6666666666666666,2.0
86,0.4,1.0,0.5714285714285715,2.0
111,0.5,0.5,0.5,2.0
101,0.0,0.0,0.0,2.0
76,0.0,0.0,0.0,2.0
294,0.5,1.0,0.6666666666666666,1.0
232,0.0,0.0,0.0,1.0
242,0.5,1.0,0.6666666666666666,1.0
53,0.058823529411764705,1.0,0.1111111111111111,1.0
57,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0
205,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,1.0
114,0.0,0.0,0.0,1.0
134,0.25,1.0,0.4,1.0
accuracy,0.7368133369773162,0.7368133369773162,0.7368133369773162,0.7368133369773162
macro avg,0.13661020512122674,0.11622230993807138,0.11024713325709325,3659.0
weighted avg,0.91208858498422,0.7368133369773162,0.7858361095303188,3659.0
